BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
AguasFrias,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
AldeaPabloVI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
Alejandria,1.0,3.0,0.0,0.0,0.0,1.0,5.0,5.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,10.0,8.0,5.0,7.0,9.0,6.0,3.0,4.0,1.0
AlejandroEchavarria,4.0,1.0,4.0,1.0,3.0,2.0,9.0,6.0,9.0,3.0,12.0,7.0,13.0,9.0,10.0,9.0,9.0,16.0,14.0,16.0,9.0,4.0,4.0,6.0
AlfonsoLopez,1.0,0.0,0.0,1.0,2.0,7.0,12.0,10.0,7.0,9.0,4.0,5.0,10.0,9.0,11.0,12.0,7.0,15.0,13.0,17.0,16.0,13.0,8.0,6.0
Altamira,1.0,0.0,0.0,1.0,0.0,11.0,10.0,7.0,10.0,6.0,6.0,8.0,6.0,8.0,10.0,8.0,9.0,6.0,13.0,4.0,6.0,3.0,6.0,3.0
Altavista,0.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,6.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,0.0,3.0,5.0,3.0,6.0,0.0,1.0,2.0
AltavistaSectorCentral,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0
AltosdelPoblado,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,4.0,6.0,0.0,3.0,0.0,1.0,5.0,1.0,4.0,3.0,1.0,2.0,2.0
Andalucia,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,1.0,5.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0
AntonioNariño,3.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,4.0,6.0,3.0,4.0,2.0,1.0,3.0,7.0,2.0,4.0,3.0,2.0,0.0,0.0
