FECHA,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
2017-01-01,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,0.0,4.0,2.0,6.0,1.0,4.0,2.0,3.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0
2017-01-02,1.0,1.0,0.0,0.0,1.0,2.0,5.0,1.0,3.0,2.0,3.0,2.0,5.0,4.0,8.0,5.0,3.0,8.0,8.0,9.0,5.0,1.0,0.0,1.0
2017-01-03,3.0,1.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,5.0,6.0,7.0,5.0,3.0,3.0,13.0,2.0,4.0,5.0,8.0,6.0,4.0,1.0,0.0
2017-01-04,0.0,0.0,0.0,1.0,0.0,1.0,3.0,8.0,4.0,4.0,1.0,4.0,4.0,1.0,5.0,8.0,4.0,8.0,3.0,4.0,5.0,4.0,1.0,0.0
2017-01-05,0.0,0.0,1.0,0.0,1.0,1.0,9.0,18.0,4.0,3.0,2.0,6.0,4.0,7.0,7.0,2.0,6.0,9.0,5.0,4.0,3.0,3.0,4.0,0.0
2017-01-06,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,2.0,4.0,0.0,4.0,4.0,2.0,5.0,4.0,7.0,7.0,7.0,3.0,4.0,2.0,1.0
2017-01-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,7.0,6.0,3.0,8.0,6.0,3.0,3.0,9.0,4.0,5.0,3.0,7.0,4.0,2.0
2017-01-08,3.0,1.0,1.0,0.0,2.0,1.0,5.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,1.0,6.0,3.0,2.0,5.0,4.0,0.0,4.0,2.0
2017-01-09,1.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,5.0,5.0,2.0,2.0,5.0,2.0,0.0,2.0
2017-01-10,0.0,0.0,2.0,1.0,0.0,2.0,3.0,6.0,4.0,0.0,5.0,2.0,7.0,4.0,7.0,4.0,7.0,11.0,3.0,9.0,6.0,3.0,5.0,1.0
2017-01-11,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,10.0,7.0,9.0,5.0,4.0,13.0,9.0,7.0,14.0,11.0,4.0,5.0,3.0,3.0,1.0
2017-01-12,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,3.0,4.0,5.0,5.0,2.0,4.0,2.0,5.0,10.0,10.0,8.0,6.0,5.0,3.0,4.0,2.0
2017-01-13,1.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,5.0,8.0,4.0,5.0,10.0,8.0,9.0,4.0,9.0,11.0,14.0,9.0,4.0,7.0,3.0,4.0
2017-01-14,0.0,1.0,0.0,0.0,1.0,1.0,6.0,5.0,2.0,2.0,7.0,6.0,10.0,8.0,9.0,6.0,9.0,4.0,7.0,8.0,6.0,3.0,2.0,1.0
2017-01-15,5.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,5.0,2.0,1.0,4.0,3.0,4.0,7.0,2.0,3.0,4.0,8.0,9.0,4.0,6.0,0.0
2017-01-16,0.0,1.0,0.0,0.0,0.0,11.0,12.0,15.0,6.0,10.0,3.0,11.0,11.0,4.0,8.0,11.0,11.0,16.0,10.0,13.0,3.0,6.0,1.0,0.0
2017-01-17,1.0,0.0,0.0,3.0,0.0,1.0,7.0,8.0,3.0,4.0,6.0,9.0,9.0,5.0,5.0,10.0,7.0,3.0,6.0,7.0,10.0,5.0,4.0,2.0
2017-01-18,1.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,4.0,5.0,11.0,5.0,3.0,4.0,7.0,11.0,18.0,9.0,3.0,8.0,2.0,2.0,0.0,0.0
2017-01-19,0.0,0.0,0.0,1.0,0.0,5.0,9.0,6.0,4.0,5.0,5.0,5.0,9.0,7.0,5.0,12.0,8.0,15.0,9.0,15.0,8.0,3.0,0.0,0.0
2017-01-20,1.0,0.0,0.0,0.0,2.0,5.0,7.0,7.0,3.0,7.0,10.0,6.0,3.0,4.0,6.0,9.0,15.0,10.0,7.0,6.0,7.0,6.0,5.0,1.0
2017-01-21,2.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,5.0,4.0,5.0,12.0,7.0,10.0,6.0,7.0,3.0,2.0,4.0,6.0,4.0,9.0,2.0,2.0
2017-01-22,2.0,4.0,1.0,0.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,7.0,3.0,6.0,3.0,11.0,2.0,1.0,5.0,5.0,3.0,1.0,3.0
2017-01-23,2.0,1.0,1.0,0.0,1.0,5.0,2.0,4.0,4.0,12.0,6.0,16.0,4.0,10.0,2.0,3.0,9.0,10.0,12.0,7.0,3.0,2.0,3.0,1.0
2017-01-24,0.0,0.0,0.0,0.0,0.0,2.0,11.0,6.0,4.0,5.0,7.0,6.0,9.0,11.0,12.0,13.0,9.0,12.0,8.0,7.0,6.0,4.0,1.0,0.0
2017-01-25,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,7.0,3.0,7.0,5.0,4.0,5.0,10.0,7.0,6.0,7.0,5.0,6.0,3.0,2.0,1.0,0.0
2017-01-26,1.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,10.0,5.0,9.0,7.0,9.0,6.0,7.0,11.0,5.0,8.0,10.0,6.0,5.0,4.0,1.0,3.0
2017-01-27,1.0,2.0,0.0,0.0,2.0,14.0,12.0,15.0,4.0,10.0,10.0,6.0,9.0,8.0,6.0,11.0,6.0,10.0,5.0,6.0,7.0,4.0,5.0,0.0
2017-01-28,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,6.0,2.0,7.0,8.0,6.0,8.0,8.0,7.0,6.0,6.0,7.0,4.0,4.0,3.0
2017-01-29,3.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,5.0,5.0,5.0,8.0,2.0,3.0,1.0,0.0,4.0,6.0,4.0,2.0,1.0,2.0
2017-01-30,0.0,0.0,0.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,4.0,6.0,14.0,5.0,4.0,7.0,13.0,11.0,7.0,4.0,5.0,1.0,4.0,1.0
2017-01-31,0.0,1.0,0.0,0.0,0.0,4.0,8.0,8.0,8.0,6.0,8.0,7.0,14.0,9.0,3.0,6.0,8.0,16.0,13.0,6.0,5.0,4.0,4.0,2.0
2017-02-01,0.0,0.0,0.0,1.0,1.0,4.0,3.0,7.0,7.0,6.0,2.0,10.0,10.0,9.0,6.0,9.0,8.0,11.0,4.0,4.0,6.0,1.0,2.0,2.0
2017-02-02,1.0,0.0,0.0,0.0,0.0,3.0,11.0,6.0,11.0,5.0,4.0,5.0,5.0,9.0,4.0,9.0,6.0,14.0,12.0,7.0,6.0,4.0,3.0,2.0
2017-02-03,1.0,0.0,0.0,2.0,1.0,4.0,7.0,8.0,3.0,5.0,4.0,5.0,13.0,9.0,5.0,11.0,13.0,12.0,11.0,6.0,7.0,10.0,3.0,0.0
2017-02-04,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,4.0,8.0,5.0,9.0,11.0,3.0,8.0,7.0,3.0,6.0,9.0,9.0,5.0,4.0,4.0
2017-02-05,2.0,3.0,1.0,2.0,4.0,5.0,1.0,0.0,7.0,5.0,5.0,8.0,5.0,7.0,2.0,6.0,7.0,6.0,6.0,4.0,4.0,3.0,1.0,1.0
2017-02-06,2.0,0.0,0.0,1.0,0.0,3.0,10.0,6.0,5.0,3.0,1.0,10.0,5.0,10.0,11.0,10.0,12.0,5.0,13.0,9.0,2.0,3.0,0.0,1.0
2017-02-07,1.0,0.0,1.0,0.0,0.0,5.0,9.0,9.0,7.0,7.0,9.0,6.0,10.0,9.0,7.0,6.0,19.0,7.0,15.0,9.0,6.0,3.0,1.0,1.0
2017-02-08,1.0,0.0,0.0,0.0,1.0,3.0,11.0,15.0,6.0,7.0,7.0,10.0,8.0,4.0,6.0,7.0,9.0,10.0,12.0,5.0,3.0,3.0,3.0,1.0
2017-02-09,1.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,10.0,9.0,9.0,8.0,8.0,9.0,7.0,6.0,11.0,5.0,11.0,5.0,5.0,2.0,2.0,0.0
2017-02-10,2.0,0.0,2.0,0.0,1.0,4.0,8.0,10.0,7.0,2.0,8.0,6.0,8.0,8.0,9.0,11.0,14.0,12.0,8.0,13.0,5.0,8.0,4.0,1.0
2017-02-11,1.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,7.0,3.0,3.0,6.0,14.0,11.0,7.0,5.0,7.0,8.0,2.0,5.0,11.0,5.0,2.0,5.0
2017-02-12,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,6.0,7.0,5.0,6.0,5.0,4.0,4.0,5.0,2.0,5.0,2.0
