BARRIO,Lon,Lat
AguasFrias,-75.62055825160378,6.233282372854475
AldeaPabloVI,-75.54209103816206,6.288475994256197
Alejandria,-75.57050221220669,6.2010236574775215
AlejandroEchavarria,-75.54646540407686,6.2373210208914855
AlfonsoLopez,-75.57435433368377,6.2834709997876885
Altamira,-75.58166004363646,6.278916056975626
Altavista,-75.60705511678731,6.224593380726329
AltavistaSectorCentral,-75.62104191774112,6.222609176585852
AltosdelPoblado,-75.55361917746897,6.210684250844788
Andalucia,-75.55519523747822,6.298002598807726
AntonioNariño,-75.62187439853255,6.257677486110047
Aranjuez,-75.5616487358684,6.280055487778019
AreaDeExpansionAltavista,-75.6133651704205,6.2221553349034515
AreaDeExpansionBelenRincon,-75.60818629311339,6.21585058439801
AsomaderaNo1,-75.56400047441038,6.228013783404256
AsomaderaNo2,-75.56239803852615,6.21672624776998
AsomaderaNo3,-75.55863492907996,6.216408413566226
Astorga,-75.57317951105493,6.209377331432275
AuresNo1,-75.59355888960364,6.286343961050732
AuresNo2,-75.59133279541356,6.289336028992461
BCerroElVolador,-75.58394469286198,6.262934291021524
BarrioCaicedo,-75.55402805092031,6.242276382162458
BarrioColombia,-75.57382455952535,6.226726249612888
BarrioColon,-75.56903510722772,6.242317921269695
BarrioCristobal,-75.60924765733552,6.248081119997559
BarriodeJesus,-75.53612306756848,6.230432346047287
BatallonGirardot,-75.5477520878958,6.260369833556862
Belalcazar,-75.56587352137842,6.296346906744204
Belen,-75.60031848710409,6.231939606672808
Belencito,-75.61851320715,6.24639442770955
BelloHorizonte,-75.58968981686982,6.2823791758785195
Berlin,-75.5555905982245,6.2848852361529834
Bermejal-LosAlamos,-75.56511294938659,6.280875697590075
Betania,-75.6212033993613,6.2446444116851705
Blanquizal,-75.60494554044101,6.274766387572442
Bolivariana,-75.58993427175213,6.245829984157862
BombonaNo1,-75.56287990829321,6.243333509680943
BombonaNo2,-75.54502392373482,6.228203451231678
BosquesdeSanPablo,-75.58076410516016,6.274915674768797
Boston,-75.55919479871024,6.247525638414585
Boyaca,-75.56554606685928,6.303638198952964
Brasilia,-75.55953024095435,6.2740380954150545
BuenosAires,-75.55607976483311,6.239749659841245
BugaPatioBonito,-75.63573584417414,6.221506189457202
CabeceraSanAntoniodePrado,-75.64622381327513,6.178060717344317
CabeceraUrbanaSanCristobal,-75.63357881268972,6.278279401725605
Calasanz,-75.59833834380393,6.262665624805882
CalasanzParteAlta,-75.60144077845787,6.266366691830349
CalleNueva,-75.57411558225927,6.239898352803233
CampoAlegre,-75.6115018663793,6.253795085734324
CampoAmor,-75.582235337027,6.213402837224316
CampoValdesNo1,-75.55655474705208,6.272908667099697
CampoValdesNo2,-75.55275247421997,6.272548366822565
Caribe,-75.5742728859906,6.269434522796961
CarlosERestrepo,-75.58061015344047,6.2566436055618695
Carpinelo,-75.53876686773508,6.2879281477102476
Castilla,-75.57144824660791,6.2896701426576875
Castropol,-75.56863277528208,6.219344240525965
Cataluña,-75.55195703531874,6.231462689686553
CementerioUniversal,-75.57367987313403,6.276549916865085
CentroAdministrativo,-75.57450987158407,6.2425731005721605
CerroNutibara,-75.57771826477486,6.233661131531456
CorazondeJesus,-75.57724865938061,6.249301411784449
Cordoba,-75.57737390528847,6.27992959335002
CorregimientodeSanAntoniodePrado,-75.64793617785196,6.1762119112819915
CorregimientodeSantaElena,-75.54663472083165,6.212621613783479
CristoRey,-75.5843700718118,6.205476778332674
CuartaBrigada,-75.5879729241458,6.260347221432342
Cucaracho,-75.60269080981932,6.279650234788803
DiegoEchavarria,-75.59590965036,6.2140479507095865
DocedeOctubreNo1,-75.57960317073103,6.306122615062519
DocedeOctubreNo2,-75.58018758625921,6.30051289411862
EduardoSantos,-75.62844508561231,6.258159444460124
ElCastillo,-75.57380650984831,6.193392483794631
ElChagualo,-75.57148783985919,6.260397725244469
ElCompromiso,-75.54398544535341,6.2872043789442476
ElCorazon,-75.62559647508853,6.247074480226855
ElCorazonElMorro,-75.63258594320811,6.249234930395605
ElDanubio,-75.6084739946232,6.2520814603816035
ElDiamante,-75.58639036122258,6.285057463973535
ElDiamanteNo2,-75.57442263406239,6.185838917903328
ElEstadio,-75.59597579470811,6.259999151231962
ElNogal-LosAlmendros,-75.59594349743203,6.237908093327211
ElPesebre,-75.59847963507288,6.2721693304327255
ElPicacho,-75.58984141090089,6.298933003884936
ElPinal,-75.54589210333837,6.243393230936704
ElPoblado,-75.5684746037363,6.209557414942402
ElPomar,-75.55267064343963,6.267973698510827
ElProgreso,-75.57753497226251,6.273512015501597
ElProgresoNo2,-75.58299413153863,6.306407989498471
ElRaizal,-75.54609756777423,6.268812221692345
ElRincon,-75.60293383453164,6.211246425992345
ElRodeo,-75.59376623416807,6.204556318751948
ElSalado,-75.62447043392366,6.254654505566373
ElSalvador,-75.56232761356621,6.236837713350859
ElSocorro,-75.61755653508197,6.259704044881547
ElTesoro,-75.5583075357401,6.202014417466254
ElTriunfo,-75.58451120287606,6.307734543081539
ElVelodromo,-75.59669072543437,6.2540593948687535
ElVergel,-75.65083559368883,6.168251324068171
Enciso,-75.55102070984668,6.24903304484112
EstacionVilla,-75.56964175998253,6.25568509067151
FacultadVeterinariayZootecniaUdeA,-75.58832709676962,6.270723221026937
FacultaddeMinasUNacional,-75.59243159415405,6.2733476593915265
Fatima,-75.58554207498406,6.234735262197064
Ferrini,-75.59715671725812,6.268274702148129
Florencia,-75.5676734909509,6.309910447868469
FloridaNueva,-75.59079816613965,6.2501571329645005
FranciscoAntonioZea,-75.57231101614758,6.2848331429414594
FuenteClara,-75.60538773425404,6.276797521336523
