TW,BARRIO,Lat,Lon,Dia_sem,Mes,Dia,Hora
2018-01-14 13:00:00,carloserestrepo,6.26115208,-75.58460819,DOMINGO,1,14,13
2018-01-14 13:00:00,sanmartindeporres,6.29310209,-75.58226559,DOMINGO,1,14,13
2018-01-14 14:00:00,losangeles,6.2520804000000005,-75.5603371,DOMINGO,1,14,14
2018-01-14 14:00:00,sanbernardo,6.22238217,-75.59782802,DOMINGO,1,14,14
2018-01-14 14:00:00,elsalvador,6.23675356,-75.5618042,DOMINGO,1,14,14
2018-01-14 15:00:00,manriquecentralno2,6.26294063,-75.55424941,DOMINGO,1,14,15
2018-01-14 15:00:00,bolivariana,6.24459071,-75.59154905,DOMINGO,1,14,15
2018-01-14 16:00:00,perpetuosocorro,6.23499605,-75.5720666,DOMINGO,1,14,16
2018-01-14 16:00:00,lospinos,6.25010547,-75.5997173,DOMINGO,1,14,16
2018-01-14 16:00:00,kennedy,6.28833948,-75.57896367,DOMINGO,1,14,16
2018-01-14 16:00:00,estacionvilla,6.25662387,-75.56966507,DOMINGO,1,14,16
2018-01-14 17:00:00,belen,6.23199742,-75.60214582,DOMINGO,1,14,17
2018-01-14 19:00:00,belen,6.23117158,-75.60068812,DOMINGO,1,14,19
2018-01-14 19:00:00,alfonsolopez,6.28233648,-75.57203761,DOMINGO,1,14,19
2018-01-14 20:00:00,bombonano2,6.22966788,-75.54201694,DOMINGO,1,14,20
2018-01-14 20:00:00,santafe,6.22990059,-75.57641876,DOMINGO,1,14,20
2018-01-14 20:00:00,alejandroechavarria,6.23921615,-75.54961147,DOMINGO,1,14,20
2018-01-14 20:00:00,loscolores,6.26527858,-75.5962323,DOMINGO,1,14,20
2018-01-14 20:00:00,laesperanza,6.28999512,-75.57691329999999,DOMINGO,1,14,20
2018-01-14 20:00:00,campoamor,6.21260164,-75.58311084,DOMINGO,1,14,20
2018-01-14 21:00:00,castropol,6.22004576,-75.56942146,DOMINGO,1,14,21
2018-01-14 21:00:00,santafe,6.22990059,-75.57641876,DOMINGO,1,14,21
2018-01-14 21:00:00,trinidad,6.22666525,-75.58354378,DOMINGO,1,14,21
2018-01-14 21:00:00,areadeexpansionpajarito,6.28958868,-75.61093892,DOMINGO,1,14,21
2018-01-14 22:00:00,sevilla,6.26445094,-75.56743703,DOMINGO,1,14,22
2018-01-14 23:00:00,fatima,6.23334501,-75.58270538,DOMINGO,1,14,23
2018-01-15 04:00:00,losconquistadores,6.24002035,-75.57851744,LUNES,1,15,4
2018-01-15 05:00:00,cerronutibara,6.2312782,-75.57528014,LUNES,1,15,5
2018-01-15 05:00:00,docedeoctubreno2,6.30022728,-75.57773448,LUNES,1,15,5
2018-01-15 05:00:00,naranjal,6.25008321,-75.58141087,LUNES,1,15,5
2018-01-15 05:00:00,rosales,6.23171619,-75.58727195,LUNES,1,15,5
2018-01-15 05:00:00,laalpujarra,6.246884400000001,-75.57521097,LUNES,1,15,5
2018-01-15 06:00:00,facultaddeminasunacional,6.27338915,-75.59302128,LUNES,1,15,6
2018-01-15 06:00:00,losconquistadores,6.24002035,-75.57851744,LUNES,1,15,6
2018-01-11 08:00:00,carloserestrepo,6.25578552,-75.58034272,JUEVES,1,11,8
2018-01-11 08:00:00,rosales,6.23458147,-75.58965933,JUEVES,1,11,8
2018-01-11 08:00:00,laspalmas,6.24144087,-75.56454822,JUEVES,1,11,8
2018-01-12 22:00:00,caribe,6.26802506,-75.57675704,VIERNES,1,12,22
2018-01-12 22:00:00,sanpedro,6.2640425,-75.56242463,VIERNES,1,12,22
2018-01-12 23:00:00,boston,6.24763674,-75.55995689,VIERNES,1,12,23
2018-01-12 23:00:00,popular,6.29484215,-75.54895995,VIERNES,1,12,23
